Class,Sensitivity,Specificity,Accuracy,MCC
0,1.0,1.0,,
1,0.8333333333333334,0.9615384615384616,,
2,0.9166666666666666,0.9230769230769231,,
Overall,,,0.9210526315789473,0.8821694055708693
