Class,Sensitivity,Specificity,Accuracy,MCC
0,0.8571428571428571,1.0,,
1,0.9166666666666666,1.0,,
2,1.0,0.8846153846153846,,
Overall,,,0.9210526315789473,0.8881966316441484
