Class,Sensitivity,Specificity,Accuracy,MCC
0,1.0,1.0,,
1,0.75,0.9615384615384616,,
2,0.9166666666666666,0.8846153846153846,,
Overall,,,0.8947368421052632,0.8451956828432803
