Class,Sensitivity,Specificity,Accuracy,MCC
0,1.0,0.9166666666666666,,
1,0.75,0.9615384615384616,,
2,0.8333333333333334,0.9230769230769231,,
Overall,,,0.868421052631579,0.8046502600263371
